조사년도,지역구분,광역시도,빈도,조율,표준오차(조율),표준화율,표준오차(표준화율),변동계수,지표명
2008,전국,-,,8.1,,7.7,,,우울감 경험률
2008,시도,서울,21916.0,8.2,0.2,8.1,0.2,2.7,우울감 경험률
2008,시도,부산,14272.0,6.9,0.3,6.8,0.2,3.6,우울감 경험률
2008,시도,대구,6977.0,7.4,0.4,7.2,0.3,5.1,우울감 경험률
2008,시도,인천,8284.0,8.7,0.4,8.8,0.4,4.9,우울감 경험률
2008,시도,광주,4431.0,8.8,0.6,8.7,0.5,6.3,우울감 경험률
2008,시도,대전,4095.0,6.9,0.4,6.8,0.4,6.5,우울감 경험률
2008,시도,울산,4507.0,5.4,0.4,5.6,0.4,7.1,우울감 경험률
2008,시도,경기,38335.0,9.2,0.2,9.2,0.2,2.1,우울감 경험률
2008,시도,강원,15107.0,9.3,0.3,8.7,0.3,3.7,우울감 경험률
2008,시도,충북,12441.0,8.5,0.4,8.0,0.4,5.2,우울감 경험률
2008,시도,충남,12954.0,8.2,0.4,8.0,0.4,4.5,우울감 경험률
2008,시도,전북,12444.0,6.0,0.3,5.3,0.3,5.4,우울감 경험률
2008,시도,전남,19175.0,7.9,0.3,7.0,0.3,4.0,우울감 경험률
2008,시도,경북,23073.0,9.3,0.3,8.8,0.3,3.7,우울감 경험률
2008,시도,경남,18459.0,7.4,0.3,7.0,0.2,3.5,우울감 경험률
2008,시도,제주,3674.0,7.7,0.9,7.3,0.7,11.8,우울감 경험률
2009,전국,-,,7.1,,6.9,,,우울감 경험률
2009,시도,서울,23171.0,7.9,0.2,7.8,0.2,2.6,우울감 경험률
2009,시도,부산,15071.0,6.3,0.2,6.1,0.2,3.7,우울감 경험률
2009,시도,대구,7335.0,8.3,0.4,8.2,0.3,4.4,우울감 경험률
2009,시도,인천,9024.0,9.9,0.4,9.8,0.4,3.6,우울감 경험률
2009,시도,광주,4824.0,7.0,0.4,7.0,0.4,5.7,우울감 경험률
2009,시도,대전,4587.0,7.6,0.5,7.6,0.4,6.1,우울감 경험률
2009,시도,울산,4604.0,5.3,0.4,5.4,0.3,7.0,우울감 경험률
2009,시도,경기,41369.0,8.2,0.2,8.2,0.2,2.0,우울감 경험률
